Post ID,Post Text,clean_text,sentiment,predicted_sentiment,emotion,is_relevant,severity,Likes,Replies
winarkokepanjen/DZyvAW_ElK1,Membalas @abelgadogado | @abelgadogado | Ini flyer yang beredar di grup2 WA se malang raya,membalas | | ini flyer yang beredar di grup2 wa se malang raya,neutral,neutral,neutral,True,none,39,14
my.rihlah/DZ0BCiOCW6E,Jelas ada hubungannya lah sama MBG. Kl ga ada MBG uangnya bisa buat yg lain bukan jd 💩& buat proyek korupsi massal,jelas ada hubungannya lah sama mbg. kl ga ada mbg uangnya bisa buat yg lain bukan jd 💩& buat proyek korupsi massal,negative,negative,frustration,True,medium,0,0
thesupplystrategist/DZzj2gQoEJl,"Kebiasaan, kalau udah gak bisa bela boroknya MBG, langsung narik mesin waktu ke masa lalu bahas BPJS. Dulu dikritik, sekarang pun dikritik. Bedanya, transisi BPJS gak bikin 33.600 anak sekolah keracunan makanan massal dalam waktu singkat karena pengadaan vendor abal-abal. Berhenti ngeles pake masa lalu, hadapi fakta kalau proyek MBG yang lu puja-puja sekarang emang amburadul dari atas sampai akar rumput.","kebiasaan, kalau udah gak bisa bela boroknya mbg, langsung narik mesin waktu ke masa lalu bahas bpjs. dulu dikritik, sekarang pun dikritik. bedanya, transisi bpjs gak bikin 33.600 anak sekolah keracunan makanan massal dalam waktu singkat karena pengadaan vendor abal-abal. berhenti ngeles pake masa lalu, hadapi fakta kalau proyek mbg yang lu puja-puja sekarang emang amburadul dari atas sampai akar rumput.",negative,negative,anger,True,high,0,1
muhtarfadili/DZyji1VIM5J,MBG nggak bisa dihentikan. 19 juta apa juga dibatalkan ?,mbg nggak bisa dihentikan. 19 juta apa juga dibatalkan ?,negative,negative,frustration,True,high,1,0
dina_riyanti10/DZypsn-ATo1,"Hapus MBG,hapus koperasi merah putih. Kembalikan listrik seperti dulu yang gak padam bergilir 😭","hapus mbg,hapus koperasi merah putih. kembalikan listrik seperti dulu yang gak padam bergilir 😭",negative,negative,frustration,True,medium,3,0
diyah_amh/DZy0kEBD94y,Tambahin taglinenya: Bersama MBG kita bangkrutkan Indonesia,tambahin taglinenya: bersama mbg kita bangkrutkan indonesia,negative,positive,sarcasm,True,medium,12,0
sihokiii/DZzxAZ0EZw-,"​Siapa bilang emak-emak cuma bisa diam saja di rumah? Saat program yang menyehatkan anak dan menghemat kantong belanja ini berjalan, waktunya kita bergerak kompak mendukung kelanjutan MBG! Catat tanggalnya, Senin 22 Juni 2026 jam 12.00 WIB langsung di Monas. #RelawanBergerak #EmakEmakBergerak","​siapa bilang emak-emak cuma bisa diam saja di rumah? saat program yang menyehatkan anak dan menghemat kantong belanja ini berjalan, waktunya kita bergerak kompak mendukung kelanjutan mbg! catat tanggalnya, senin 22 juni 2026 jam 12.00 wib langsung di monas. relawanbergerak emakemakbergerak",positive,positive,joy,True,none,0,0
mamihzizou/DZypswiElAj,"Penjilat kelas kakap klu bicara sa enak udele wae,wooy modari janji yg harus di tepati itu yg manfaat nya baik tapi klu byk mudorot nya gpp di stop gak dosa spti yg korupsi,,,klu kekeh mo lanjut Allah swt akan kobul do'a""yg anak nya keracunan mbg ada yg smpe mati,,","penjilat kelas kakap klu bicara sa enak udele wae,wooy modari janji yg harus di tepati itu yg manfaat nya baik tapi klu byk mudorot nya gpp di stop gak dosa spti yg korupsi,,,klu kekeh mo lanjut allah swt akan kobul do'a""yg anak nya keracunan mbg ada yg smpe mati,,",negative,mixed,anger,True,high,0,0
andikara1987/DZz_5_IEmvL,"Di tmptku td demo ibu² yg katanya mewakili para ortu yg ga mau MBG di hapus dan memaksa MBG ttp berjalan selama liburan,dg alasan gizi anak terpenuhi,ortu hemat,anak ga jajan dll.. Pdhl semua tuh pekerja SPPG yg ketar ketir sendiri..","di tmptku td demo ibu² yg katanya mewakili para ortu yg ga mau mbg di hapus dan memaksa mbg ttp berjalan selama liburan,dg alasan gizi anak terpenuhi,ortu hemat,anak ga jajan dll.. pdhl semua tuh pekerja sppg yg ketar ketir sendiri..",mixed,negative,frustration,True,medium,0,1
nrkhdjh___/DZy0ijcEu9t,satu kata buat MBG,satu kata buat mbg,neutral,neutral,neutral,True,none,0,0
khadijah.ija.10/DZzWTxJkjh0,Pemilik dapur beserta karyawan MBG meramaikan demo,pemilik dapur beserta karyawan mbg meramaikan demo,negative,neutral,frustration,True,medium,1,1
gagah_bersama_rakyat/DZzw-xhib-k,"Di bagi ke mahasewa yg demo aja, biar ngerasain uang mbg, kan blm kebagian klw orator nya calon direkrut partai, lah yg ikut2n nya kasian gtu..","di bagi ke mahasewa yg demo aja, biar ngerasain uang mbg, kan blm kebagian klw orator nya calon direkrut partai, lah yg ikut2n nya kasian gtu..",negative,negative,frustration,True,medium,0,0
noviangraini8/DZz_5MdAfdI,"katanya kalo selalu overthinking coba tulis dibuku , pas nulis yang ditulis malah : MBG 🎶 buah .. 😌","katanya kalo selalu overthinking coba tulis dibuku , pas nulis yang ditulis malah : mbg 🎶 buah .. 😌",positive,positive,joy,True,none,1,0
iceamericano_13/DZy7sr_jzwH,"Iya makanya harus diaudit, harus diperbaiki lagi si sistemnya, padahal bagus loh mbg ini karna tepat sasaran langsung ke penerima manfaatnya","iya makanya harus diaudit, harus diperbaiki lagi si sistemnya, padahal bagus loh mbg ini karna tepat sasaran langsung ke penerima manfaatnya",mixed,mixed,satisfaction,True,low,0,0
mutiaftilla/DZzWSK5kSQ4,"BI udah gelontorin sekian triliun biar rupiah g anjlok woi, tapi kebijakan fiskal dan pemakaiam kas negara gila2an, mbg, kopdes, kunjungan luar negeri lu itung deh berapa kali presiden kunjungan keluar negeri selama 2 tahun ini","bi udah gelontorin sekian triliun biar rupiah g anjlok woi, tapi kebijakan fiskal dan pemakaiam kas negara gila2an, mbg, kopdes, kunjungan luar negeri lu itung deh berapa kali presiden kunjungan keluar negeri selama 2 tahun ini",negative,negative,frustration,True,medium,0,1
uciswift/DZzWN2MmogZ,"Dari awal gak setuju MBG Karna masih banya jalan atau sekolah yg harus benerin dulu , terus gaji gurunya, baru perutnya,, Program prabowo yg di perbaiki perutnya dulu ya kenyang duluan 🤦‍♀️🤦‍♀️🤦‍♀️","dari awal gak setuju mbg karna masih banya jalan atau sekolah yg harus benerin dulu , terus gaji gurunya, baru perutnya,, program prabowo yg di perbaiki perutnya dulu ya kenyang duluan 🤦‍♀️🤦‍♀️🤦‍♀️",negative,negative,frustration,True,medium,0,0
respublicaproject/DZzfI6NCd-K,"Selama ini kita sering mendengar kisah guru honorer yang harus berangkat pagi-pagi, menempuh perjalanan jauh, dan mengeluarkan biaya transportasi yang tidak sedikit demi tetap hadir mengajar anak-anak Indonesia. Di tengah keterbatasan yang ada, mereka tetap menjalankan tugasnya dengan penuh dedikasi. | Karena itu, keputusan untuk menghibahkan motor listrik operasional SPPG kepada guru honorer dinilai sebagai langkah yang dapat membantu kebutuhan nyata di lapangan.","selama ini kita sering mendengar kisah guru honorer yang harus berangkat pagi-pagi, menempuh perjalanan jauh, dan mengeluarkan biaya transportasi yang tidak sedikit demi tetap hadir mengajar anak-anak indonesia. di tengah keterbatasan yang ada, mereka tetap menjalankan tugasnya dengan penuh dedikasi. | karena itu, keputusan untuk menghibahkan motor listrik operasional sppg kepada guru honorer dinilai sebagai langkah yang dapat membantu kebutuhan nyata di lapangan.",positive,positive,trust,True,none,325,62
de_dianara/DZy1HjPkee-,"Kenapa sih org² di apk sebelah, kayak ga punya otak anjir. Nyalain MBG mulu kerjaannya.. teriak² lapangan kerja, nah org yg kerja di dapur MBG itu bukan kerja? Lagian juga ya, MBG ini bagus bukan cuman buat anak sekolah,buat perputaran ekonomi juga sangat membantu buat para UMKM,tani dan lainnya. Kok mereka mikirnya cetek banget sih?","kenapa sih org² di apk sebelah, kayak ga punya otak anjir. nyalain mbg mulu kerjaannya.. teriak² lapangan kerja, nah org yg kerja di dapur mbg itu bukan kerja? lagian juga ya, mbg ini bagus bukan cuman buat anak sekolah,buat perputaran ekonomi juga sangat membantu buat para umkm,tani dan lainnya. kok mereka mikirnya cetek banget sih?",mixed,mixed,frustration,True,low,4,11
andri3075/DZz-VShkgxl,"Membalas @godricmalfoy | @godricmalfoy | Ya rendahlah, dibandingkan dengan MBG 😌","membalas | | ya rendahlah, dibandingkan dengan mbg 😌",positive,positive,satisfaction,True,none,0,1
nurulfitriyah700/DZy0gqZFJy_,Kalo ada ibu² umur 40 tahunan makan ice cream pinggir jalan tolong biarin aja.... | Karena itu me time buat dia yg lagi mikirin daftar ulang ank sulungnya naik kelas XI dan ank bungsunya ke kelas IV blm lagi uang bukunya... | Terdengar dari jarak 1 km isi kepalanya seberisik lagu MBG yg lagi viral 😂😂😂 1 / 2 | Terdengar dari jarak 1 km isi kepalanya seberisik lagu MBG yg lagi viral 😂😂😂,kalo ada ibu² umur 40 tahunan makan ice cream pinggir jalan tolong biarin aja.... | karena itu me time buat dia yg lagi mikirin daftar ulang ank sulungnya naik kelas xi dan ank bungsunya ke kelas iv blm lagi uang bukunya... | terdengar dari jarak 1 km isi kepalanya seberisik lagu mbg yg lagi viral 😂😂😂 1 / 2 | terdengar dari jarak 1 km isi kepalanya seberisik lagu mbg yg lagi viral 😂😂😂,mixed,negative,joy,True,low,1,2
wulanjulie91/DZzj0chgfdm,"Setau gue perputaran UMKM tuh bukan karna MBG , karna MBG ambil barang lgsg k produsen nya,, yg bikin muter UMKM kaum menengah ,, yg skrg diperas habis2an pendapatannya dr pajak 🌚 ,","setau gue perputaran umkm tuh bukan karna mbg , karna mbg ambil barang lgsg k produsen nya,, yg bikin muter umkm kaum menengah ,, yg skrg diperas habis2an pendapatannya dr pajak 🌚 ,",negative,negative,frustration,True,medium,0,0
megagmlr_/DZzC0dvmiDo,Punya dapur tp anggota dpr dukung mbg wkwk Kontra sama ketua dprd kota malang wkwk,punya dapur tp anggota dpr dukung mbg wkwk kontra sama ketua dprd kota malang wkwk,negative,mixed,sarcasm,True,low,0,0
dsyrskyntcia_/DZzV_AIoKsG,Membalas @sum.mire | Mba tapi kamu takutt inflansi. Kalau apa apa di subsidikan tanpa ada subsidi silamg ya hanvur mata uang kitaaaaa. Selat hormuz itu skrg udah mahal bgttt biaya lewatnya . Belum lagi minyak dunia lgi mahal. Kalau berharap semuanya gratis + subsidi hancurr sudahh kitaa. Makanya ada subsidi silangg.,membalas .mire | mba tapi kamu takutt inflansi. kalau apa apa di subsidikan tanpa ada subsidi silamg ya hanvur mata uang kitaaaaa. selat hormuz itu skrg udah mahal bgttt biaya lewatnya . belum lagi minyak dunia lgi mahal. kalau berharap semuanya gratis + subsidi hancurr sudahh kitaa. makanya ada subsidi silangg.,negative,negative,fear,True,high,0,1
fuadarian/DZzw-UTExuy,Saya yakin pemikiran mereka tidak sejauh itu. Bahkan soal mbg saja yang di demokan.yang katanya kaum intelektual tidak memberikan tuntutan yang solutif,saya yakin pemikiran mereka tidak sejauh itu. bahkan soal mbg saja yang di demokan.yang katanya kaum intelektual tidak memberikan tuntutan yang solutif,negative,negative,disappointment,True,low,0,0
arr_fauzan/DZzWNVTCQhf,Inilah kenapa dia harus makan MBG😂😂,inilah kenapa dia harus makan mbg😂😂,positive,positive,joy,True,none,13,0
yuzarsifff69/DZzj0iIAfJ7,"MBG mau distop libur sekolah. | Yang gak marah: - Murid ❌ - Orang tua siswa ❌ - Guru ❌ - Ibu hamil dan menyusui ❌ | Yang marah: - Presiden ✅ - BGN ✅ - Yayasan yang punya SPPG ✅ - Parjo, parcok, parpol yang punya yayasan ✅ - ""Relawan"" SPPG ✅ - Pengusaha MBG ✅","mbg mau distop libur sekolah. | yang gak marah: - murid ❌ - orang tua siswa ❌ - guru ❌ - ibu hamil dan menyusui ❌ | yang marah: - presiden ✅ - bgn ✅ - yayasan yang punya sppg ✅ - parjo, parcok, parpol yang punya yayasan ✅ - ""relawan"" sppg ✅ - pengusaha mbg ✅",negative,negative,frustration,True,medium,10,0
yan103fano/DZy0gZvESXu,NKRI harga mati..lah tu MBG emg NKRI harga mati???rakyat diperas setiap hari dengan pajak..NKRI harga mati dari mananya????,nkri harga mati..lah tu mbg emg nkri harga mati???rakyat diperas setiap hari dengan pajak..nkri harga mati dari mananya????,negative,negative,anger,True,high,0,0
muhbayyy_/DZy4WWiFCzk,setara anggaran mbg 1 hari,setara anggaran mbg 1 hari,neutral,neutral,neutral,True,none,0,0
iceamericano_13/DZxaZV_j7Md,"Membalas @iceamericano_13 | Jangan jahat-jahat dong ketikannya, gmna kalo orangtua yg anaknya dapet mbg kerja nya cuma serabutan, yg ga tiap hari bisa makan, apalgi beliin anak susu uht, aku tergolong masih bisa beliin anakku susu dan buah, tapi kalo akhir bulan kayagini kerasa kok manfaat mbg nya","membalas | jangan jahat-jahat dong ketikannya, gmna kalo orangtua yg anaknya dapet mbg kerja nya cuma serabutan, yg ga tiap hari bisa makan, apalgi beliin anak susu uht, aku tergolong masih bisa beliin anakku susu dan buah, tapi kalo akhir bulan kayagini kerasa kok manfaat mbg nya",positive,positive,satisfaction,True,none,37,8
conero_cole99/DZz_wNQGE96,Nah ini baru bener Tumben Otak nya LURUS LL PEJABAT INI 👍👍👍 GOOD 👍👍 | BARU GW SETUJU NIHHH......KASIAN PARA GURU HONORER...🫣 | #fyp #jangkauanluas #Semuaorang #Fyp #MBG,nah ini baru bener tumben otak nya lurus ll pejabat ini 👍👍👍 good 👍👍 | baru gw setuju nihhh......kasian para guru honorer...🫣 | fyp jangkauanluas semuaorang fyp mbg,mixed,mixed,satisfaction,True,low,22,4
ridwan4kb/DZz_0Xlkznv,"Nah lho, jgn2 yg demo pro MBG itu karena dipaksa jg, atau bahkan mungkin ada dari peserta demonya yg hasil bayaran jg, sbg bentuk demo tandingan yg dibuat pemerintah sbg respon demo kontra MBG kemaren2. Klo bnr itu cuma demo tandingan, maka udah gak bisa diharapin lagi dari rezim prabowo ini. 😌 | Telat baca grup, tapi semoga saja salah. Karena seharian ini ga nemu konten² yang bertebaran soal guru yang memberi statmen dukung MBG.","nah lho, jgn2 yg demo pro mbg itu karena dipaksa jg, atau bahkan mungkin ada dari peserta demonya yg hasil bayaran jg, sbg bentuk demo tandingan yg dibuat pemerintah sbg respon demo kontra mbg kemaren2. klo bnr itu cuma demo tandingan, maka udah gak bisa diharapin lagi dari rezim prabowo ini. 😌 | telat baca grup, tapi semoga saja salah. karena seharian ini ga nemu konten² yang bertebaran soal guru yang memberi statmen dukung mbg.",negative,mixed,disappointment,True,medium,5200,463
triofajark/DZzxA9qmeAz,"Yaa Rabb, demi keselamatan negara, nasib kesehatan dan pendidikan bangsa yang lebih baik, serta kematangan ekonomi...aku mohon bubarkan rezim MBG KDMP sebelum November 2026 🤲🏻","yaa rabb, demi keselamatan negara, nasib kesehatan dan pendidikan bangsa yang lebih baik, serta kematangan ekonomi...aku mohon bubarkan rezim mbg kdmp sebelum november 2026 🤲🏻",negative,negative,frustration,True,high,0,1
astrie_yustika20/DZymBEBD3P1,Membalas @nyonyah.san_1991 | @nyonyah.san_1991 | Yang sudah di revitalisasi tuh banyak tapi mereka gak lihat dan masih berkoar lebih baik dialokasikan untuk pendidikan dan pembangunan nya... toh itu juga jalan berbarengan... heran saya....,membalas .san_1991 | .san_1991 | yang sudah di revitalisasi tuh banyak tapi mereka gak lihat dan masih berkoar lebih baik dialokasikan untuk pendidikan dan pembangunan nya... toh itu juga jalan berbarengan... heran saya....,mixed,mixed,frustration,True,low,22,3
info_konoha___0/DZzTIhaEa_G,"Jangan Tantrum mulu Amad .. Yg laen aja pada santai kok ,, lah elu ngegas mulu .. | Paling jleb pas si Amad di skakmat Virdian : ""Oke oke kita anggap Bunderan HI bukan tempat buat demo ya bang ?"" Ahmad : BETUL Virdian : sama seperti dapur MBG bukan untuk TNI / POLRI"" .. 🤣 | Mad jangan kenceng kenceng mad ,, tar urat leher putus tuh 😂","jangan tantrum mulu amad .. yg laen aja pada santai kok ,, lah elu ngegas mulu .. | paling jleb pas si amad di skakmat virdian : ""oke oke kita anggap bunderan hi bukan tempat buat demo ya bang ?"" ahmad : betul virdian : sama seperti dapur mbg bukan untuk tni / polri"" .. 🤣 | mad jangan kenceng kenceng mad ,, tar urat leher putus tuh 😂",mixed,mixed,joy,True,low,1600,315
noyrenna/DZyvF95EnPX,"Membalas @weeky_id | Itu Pertanyaannya justru harusnya buat Pemerintah sih, bukan bisa atau gak tp Pemerintah mau gak serius memperbaiki tata kelola program ini? Krn faktanya sampai skrng sistemnya masih sm tuh gk dibenahi dg serius, masih pakai vendor besar & dapur2 masih banyak dimiliki pejabat, elit partai & aparat yg mana jelas rawan sekali untuk dikorup Pdhl kalau gak dikorup dg anggaran ratusan triliun tersebut harusnya pemerintah mampu loh menciptakan peluang kerja lain yg lebih banyak & layak dipedesaan","membalas | itu pertanyaannya justru harusnya buat pemerintah sih, bukan bisa atau gak tp pemerintah mau gak serius memperbaiki tata kelola program ini? krn faktanya sampai skrng sistemnya masih sm tuh gk dibenahi dg serius, masih pakai vendor besar & dapur2 masih banyak dimiliki pejabat, elit partai & aparat yg mana jelas rawan sekali untuk dikorup pdhl kalau gak dikorup dg anggaran ratusan triliun tersebut harusnya pemerintah mampu loh menciptakan peluang kerja lain yg lebih banyak & layak dipedesaan",negative,negative,frustration,True,high,0,1
yantidfrdlh/DZzjycUj0lR,Lagi terharu nih sm anak tk yang mau masuk sd lagi nangis2 nya dia bilang “ bun hari ini menu mbg nya apa ?” Semua yg denger omongan anaku pada ketawa 😭 2 / 3 | Lagi terharu nih sm anak tk yang mau masuk sd lagi nangis2 nya dia bilang “ bun hari ini menu mbg nya apa ?” Semua yg denger omongan anaku pada ketawa 😭,lagi terharu nih sm anak tk yang mau masuk sd lagi nangis2 nya dia bilang “ bun hari ini menu mbg nya apa ?” semua yg denger omongan anaku pada ketawa 😭 2 / 3 | lagi terharu nih sm anak tk yang mau masuk sd lagi nangis2 nya dia bilang “ bun hari ini menu mbg nya apa ?” semua yg denger omongan anaku pada ketawa 😭,positive,positive,joy,True,none,0,1
rissa_is_rosie/DZzURUkgaRU,"Membalas @dewiprihandini | @dewiprihandini | Betul kakk.. daridulu program pencegahan stunting udah ada kan dan di posyandu udah ada yg namanya PMT. Harusnya itu aja dulu yg dibenerin, karna realitanya dari dinkes, turun ke puskes ke posyandu jadi sedikit anggarannya jadinya PMT asal2an","membalas | | betul kakk.. daridulu program pencegahan stunting udah ada kan dan di posyandu udah ada yg namanya pmt. harusnya itu aja dulu yg dibenerin, karna realitanya dari dinkes, turun ke puskes ke posyandu jadi sedikit anggarannya jadinya pmt asal2an",negative,negative,frustration,True,medium,0,1
dewiprihandini/DZzWMnkElv7,"Nah iya bener Kalau ini disempurnakan, insya Allah jumlah stunting bisa dikurangi Dr posyandu uda punya data keluarga, walau harus dimaksimalin juga biar bener2 tepat sasaran mana yg stunting krn tidak mampu Edukasi gizi juga uda dilakukan sm mereka | Ini lebih penting dibanding ngasi makan 1x sehari, mana banyak yg asal2an. Masa bayi balita banyak dikasi mbg pake sambel","nah iya bener kalau ini disempurnakan, insya allah jumlah stunting bisa dikurangi dr posyandu uda punya data keluarga, walau harus dimaksimalin juga biar bener2 tepat sasaran mana yg stunting krn tidak mampu edukasi gizi juga uda dilakukan sm mereka | ini lebih penting dibanding ngasi makan 1x sehari, mana banyak yg asal2an. masa bayi balita banyak dikasi mbg pake sambel",mixed,mixed,frustration,True,medium,0,0
weeky_id/DZy0dujiVXV,"Skrang kan lagi di berhentikan dan di evaluasi MBG nya, kita liat kedepannya seperti apa. Programnya sudah bagus DAPUR nya yang TOLOL dan Banyak sebenarnya dari dulu pemerintah mengadakan program peluang kerja di pedesaan melalui KEPALA DESA, tapi ah sudahlah korup itu emang udah jadi budaya. Jadi ya begitulah lah","skrang kan lagi di berhentikan dan di evaluasi mbg nya, kita liat kedepannya seperti apa. programnya sudah bagus dapur nya yang tolol dan banyak sebenarnya dari dulu pemerintah mengadakan program peluang kerja di pedesaan melalui kepala desa, tapi ah sudahlah korup itu emang udah jadi budaya. jadi ya begitulah lah",mixed,mixed,frustration,True,medium,0,0
noyrenna/DZynjWNEiRD,"Aneh, ketika minta MBG di STOP krn jelas2 anggarannya dikorupsi & sistem tata kelola programnya jg bermasalah. | Eh yg lebih dipikirin malah gmn nnti nasib karyawan sppg kalau MBG distop. | Hey kalian tau gak sih kalau kerugian negara akibat MBG dikorupsi itu JAUH lebih besar daripada biaya buat penyerapan tenaga kerja diprogram tersebut. | Gimna sih logikanya? Masa mempertahankan program yg rusak demi lapangan kerja yg gk seberapa itu, sm aja dg memaklumi perampokan uang negara dong?","aneh, ketika minta mbg di stop krn jelas2 anggarannya dikorupsi & sistem tata kelola programnya jg bermasalah. | eh yg lebih dipikirin malah gmn nnti nasib karyawan sppg kalau mbg distop. | hey kalian tau gak sih kalau kerugian negara akibat mbg dikorupsi itu jauh lebih besar daripada biaya buat penyerapan tenaga kerja diprogram tersebut. | gimna sih logikanya? masa mempertahankan program yg rusak demi lapangan kerja yg gk seberapa itu, sm aja dg memaklumi perampokan uang negara dong?",negative,negative,anger,True,high,20,13
rizqiaryani/DZzw8h8AQIN,"si ahmad hari2 makan ompreng MBG, nyaring betool 🤣","si ahmad hari2 makan ompreng mbg, nyaring betool 🤣",mixed,mixed,frustration,True,low,1,1
ikahastari_/DZzWKk_E_jc,Setidaknya JALAN JALAN DENGAN SEPATU RODAKU bisa buat lagu MBG tenggelam 🫵🏻😌😅,setidaknya jalan jalan dengan sepatu rodaku bisa buat lagu mbg tenggelam 🫵🏻😌😅,negative,positive,disappointment,True,low,2,0
rabon_cuber/DZzjolhiVBW,MBG muntu kooot na,mbg muntu kooot na,positive,positive,joy,True,none,0,0
